buy_signal_threshold,sell_signal_threshold,#transactions,profit,%profit,#profitable,%profitable,profit/T,%profit/T,#transactions/M,profit/M,%profit/M
0.01,-0.08,1,0.0,0.0,0,0.0,0.0,0.0,0.17,0.0,0.0
0.01,-0.09,1,0.0,0.0,0,0.0,0.0,0.0,0.17,0.0,0.0
0.01,-0.1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,-0.08,1,0.0,0.0,0,0.0,0.0,0.0,0.17,0.0,0.0
0.02,-0.09,1,0.0,0.0,0,0.0,0.0,0.0,0.17,0.0,0.0
0.02,-0.1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,-0.08,1,0.0,0.0,0,0.0,0.0,0.0,0.17,0.0,0.0
0.03,-0.09,1,0.0,0.0,0,0.0,0.0,0.0,0.17,0.0,0.0
0.03,-0.1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,-0.08,1,0.0,0.0,0,0.0,0.0,0.0,0.17,0.0,0.0

