buy_signal_threshold,sell_signal_threshold,#transactions,profit,%profit,#profitable,%profitable,profit/T,%profit/T,#transactions/M,profit/M,%profit/M,sharpe
0.09,-0.02,173,-54025.3,-68.0,79,45.7,-312.28,-0.4,29.24,-9131.39,-11.49,-0.155
0.08,-0.02,175,-54347.77,-68.5,79,45.1,-310.56,-0.4,29.58,-9185.89,-11.58,-0.156
0.08,-0.06,130,-46782.08,-58.0,55,42.3,-359.86,-0.4,21.97,-7907.14,-9.8,-0.156
0.09,-0.06,129,-46623.35,-57.8,55,42.6,-361.42,-0.4,21.8,-7880.31,-9.77,-0.156
0.09,-0.01,185,-55276.48,-69.9,89,48.1,-298.79,-0.4,31.27,-9342.86,-11.81,-0.157
0.07,-0.02,187,-56410.67,-71.5,80,42.8,-301.66,-0.4,31.61,-9534.57,-12.08,-0.158
0.07,-0.06,137,-47960.51,-59.8,57,41.6,-350.08,-0.4,23.16,-8106.31,-10.11,-0.158
0.08,-0.01,188,-55787.53,-70.7,90,47.9,-296.74,-0.4,31.78,-9429.24,-11.95,-0.158
0.09,-0.03,165,-52737.26,-66.3,70,42.4,-319.62,-0.4,27.89,-8913.68,-11.21,-0.158
0.08,-0.03,167,-53058.61,-66.8,70,41.9,-317.72,-0.4,28.23,-8968.0,-11.29,-0.159

0.4,-0.1,45,-33518.36,-37.5,23,51.1,-744.85,-0.8,7.61,-5665.29,-6.34,-0.154
0.35,-0.1,49,-34222.92,-38.8,24,49.0,-698.43,-0.8,8.28,-5784.38,-6.56,-0.156
0.45,-0.1,40,-32690.87,-36.1,20,50.0,-817.27,-0.9,6.76,-5525.43,-6.1,-0.158
0.3,-0.1,55,-35248.82,-40.7,26,47.3,-640.89,-0.7,9.3,-5957.78,-6.88,-0.16
0.35,-0.15,44,-33424.06,-37.6,21,47.7,-759.64,-0.9,7.44,-5649.35,-6.36,-0.16
0.3,-0.15,49,-34276.09,-39.2,23,46.9,-699.51,-0.8,8.28,-5793.37,-6.63,-0.162
0.4,-0.15,40,-32715.47,-36.6,20,50.0,-817.89,-0.9,6.76,-5529.59,-6.19,-0.164
0.45,-0.15,35,-31889.43,-35.1,17,48.6,-911.13,-1.0,5.92,-5389.97,-5.93,-0.166
0.25,-0.1,59,-35950.84,-42.4,26,44.1,-609.34,-0.7,9.97,-6076.43,-7.17,-0.169
0.2,-0.1,72,-38602.61,-46.4,30,41.7,-536.15,-0.6,12.17,-6524.64,-7.84,-0.17

