buy_signal_threshold,sell_signal_threshold,#transactions,profit,%profit,#profitable,%profitable,profit/T,%profit/T,#transactions/M,profit/M,%profit/M
0.1,-0.02,2,395.59,0.7,1,50.0,197.79,0.3,2.17,429.74,0.76
0.02,-0.03,1,0.0,0.0,0,0.0,0.0,0.0,1.09,0.0,0.0
0.02,-0.04,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,-0.05,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,-0.1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,-0.15,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,-0.03,1,0.0,0.0,0,0.0,0.0,0.0,1.09,0.0,0.0
0.03,-0.04,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,-0.05,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,-0.1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0

